sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb
2.1901206808289224,0.0782220224601693,3.2412600243553094,0.002435380091409,9.65229816002422,5.494577454321104,0.7349917674411043,97.91708651425807,11681860659.389175,0.0
0.7932153458126873,0.0209102934575041,7.610803812021067,0.0028601688804649,9.8299178700444,9.535965364358349,0.5225471764295114,91.35453310083138,13762329810.429094,0.0
2.2367903590870943,0.0726857838048024,3.4947966696594386,0.0211193105703111,9.455430294556038,3.916907198755153,0.432453428429525,112.47924805978464,14100631688.79932,0.0010504605946955
3.0010339399294987,0.0272511657816874,9.696841683083148,0.0018420053649314,9.400101502023716,9.765434320971789,0.167235167754277,101.0802884387479,9372858289.086006,0.0
1.1357990258354598,0.0900104905299634,4.456465934665014,0.0048163392873973,8.988446751112333,6.6129524524672245,0.8305322596501077,62.74591862346357,9099369452.780548,0.0
3.3531147331678643,0.0266293368798438,5.434679230477433,0.012979073573275,3.5290832895470223,7.6530481588906225,0.2696555759287367,62.67014436817258,16087156184.985552,0.0
2.129648247786037,0.0508539404780145,5.189636605606982,0.0748686567592454,4.669954896897487,6.674438188733117,0.3769230352032808,104.00132391255823,12919877206.777643,0.0012004596679204
0.943898334633412,0.0968232164766164,2.060858612926306,0.0222080162584757,9.312406255345564,5.499520972337747,0.819652330743648,124.80558046661533,10419508177.231174,0.0009729948936824
0.4259804146243585,0.0804220708979952,7.852912149801287,0.0029696297393624,7.163531761612149,7.169878888848278,0.8383388787887773,127.72456262395652,15994111743.261164,0.0
4.051924191124763,0.0722706619812691,9.293735616540316,0.0062825434876259,6.419178333761282,7.9244393349522175,0.6977311474299865,109.62261835912636,19317386550.1586,0.0
1.7478196311051324,0.0468318425906003,3.9188541801305865,0.0030736434780532,9.136680228486505,5.493879152425754,0.7844877802081174,110.68342269451506,13064570978.693075,0.0
4.965991890514946,0.0337430374916737,9.13920400115144,0.0130500605212974,4.78546874397556,7.1696645713993306,0.0300874254347383,89.15280244451044,9765068821.265924,0.0
